Name,Stream,Bin Number,Stream Character,Zone,geometry
1001FR,Recycle,001,R,1,"c(-118.441154597098, 34.0710201843613, 0)"
1002FL,Landfill,002,L,1,"c(-118.441148575218, 34.0710210120667, 0)"
1003DR,Recycle,003,R,1,"c(-118.442201385792, 34.0710515620287, 0)"
1004DL,Landfill,004,L,1,"c(-118.442194201356, 34.0710515783435, 0)"
1005DC,Compost,005,C,1,"c(-118.442189484639, 34.0710516393845, 0)"
1006LL,Landfill,006,L,1,"c(-118.442488558334, 34.0710670832655, 0)"
1007LL,Landfill,007,L,1,"c(-118.442292078333, 34.0710727604323, 0)"
1008LL,Landfill,008,L,1,"c(-118.442077748192, 34.0710729259124, 0)"
1009LL,Landfill,009,L,1,"c(-118.441987189594, 34.0710830382553, 0)"
1010FR,Recycle,010,R,1,"c(-118.439213685195, 34.0711556070476, 0)"
1011FL,Landfill,011,L,1,"c(-118.439224203918, 34.071156828475, 0)"
1012LL,Landfill,012,L,1,"c(-118.441956675086, 34.071185512543, 0)"
1013LL,Landfill,013,L,1,"c(-118.441796733801, 34.0711921658389, 0)"
1014LL,Landfill,014,L,1,"c(-118.44198843293, 34.0712128962916, 0)"
1015FR,Recycle,015,R,1,"c(-118.442628845333, 34.0712156277346, 0)"
1016FL,Landfill,016,L,1,"c(-118.44168471658, 34.0712172276535, 0)"
1017FL,Landfill,017,L,1,"c(-118.442636690873, 34.0712242299182, 0)"
1018LL,Landfill,018,L,1,"c(-118.442247978459, 34.0712246173572, 0)"
1019FR,Recycle,019,R,1,"c(-118.441685949892, 34.0712307147782, 0)"
1020LL,Landfill,020,L,1,"c(-118.442238151027, 34.0713354394993, 0)"
1021DR,Recycle,021,R,1,"c(-118.442002758079, 34.0713424309672, 0)"
1022DC,Compost,022,C,1,"c(-118.442003075574, 34.0713513072104, 0)"
1023DL,Landfill,023,L,1,"c(-118.442003925609, 34.0713550520934, 0)"
1024DR,Recycle,024,R,1,"c(-118.439740881889, 34.0714060232499, 0)"
1025DL,Landfill,025,L,1,"c(-118.439742119532, 34.0714094280463, 0)"
1026DC,Compost,026,C,1,"c(-118.439741446966, 34.0714099875927, 0)"
1027FR,Recycle,027,R,1,"c(-118.439111207324, 34.0714229354802, 0)"
1028FL,Landfill,028,L,1,"c(-118.439109321193, 34.07143067593, 0)"
1029FL,Landfill,029,L,1,"c(-118.43945809723, 34.071435761194, 0)"
1030FR,Recycle,030,R,1,"c(-118.439453977735, 34.0714358840633, 0)"
1031FR,Recycle,031,R,1,"c(-118.44088919994, 34.0714597815157, 0)"
1032FL,Landfill,032,L,1,"c(-118.44088909625, 34.0714690342448, 0)"
1033FR,Recycle,033,R,1,"c(-118.441549420345, 34.0715477675286, 0)"
1034FL,Landfill,034,L,1,"c(-118.441554736353, 34.0715491606597, 0)"
1035FR,Recycle,035,R,1,"c(-118.442636192558, 34.0715920490406, 0)"
