Bin ID,Stream,geometry
1084FL,Landfill,"c(-118.442660107443, 34.0725553077486)"
1085FR,Recycle,"c(-118.442652511575, 34.0725582043533)"
1134FR,Recycle,"c(-118.442301918722, 34.0735686471951)"
1136FL,Landfill,"c(-118.442292504072, 34.0735692004952)"
1135FR,Recycle,"c(-118.44183015006, 34.0735691838784)"
1137FL,Landfill,"c(-118.44184248226, 34.0735768587051)"
1121AL,Landfill,"c(-118.441668991817, 34.0733286559577)"
1122AC,Compost,"c(-118.441679570169, 34.0733354272543)"
1120AR,Recycle,"c(-118.441678556, 34.0733252447638)"
1103FL,Landfill,"c(-118.441998710485, 34.0731572286655)"
1105FR,Recycle,"c(-118.442006277486, 34.0731616525401)"
1145DR,Recycle,"c(-118.44202409431, 34.074047943499)"
1144DC,Compost,"c(-118.442024282727, 34.0740416029067)"
1143DL,Landfill,"c(-118.442023314088, 34.0740378532207)"
1157FL,Landfill,"c(-118.441370907408, 34.074466910007)"
1158FR,Recycle,"c(-118.441361662407, 34.0744687487682)"
1151AR,Recycle,"c(-118.441411256364, 34.0741629331834)"
1150AC,Compost,"c(-118.441421029987, 34.0741616440131)"
1149AL,Landfill,"c(-118.441437422365, 34.0741608629334)"
1163XL,Landfill,"c(-118.441159764338, 34.0745889650989)"
1162XL,Landfill,"c(-118.441448895541, 34.0745869612196)"
1164XL,Landfill,"c(-118.441191521026, 34.0746138388396)"
1165XL,Landfill,"c(-118.441350675835, 34.0746167220274)"
1177FR,Recycle,"c(-118.440885789032, 34.0754210533832)"
1179FL,Landfill,"c(-118.440886394406, 34.0754260824692)"
1176FR,Recycle,"c(-118.441542255789, 34.0754185257947)"
1178FL,Landfill,"c(-118.441544884515, 34.0754239630679)"
1205AR,Recycle,"c(-118.440768213012, 34.076593147325)"
1204AC,Compost,"c(-118.440759904289, 34.0765924716971)"
1206AL,Landfill,"c(-118.440764421235, 34.0765958036944)"
1202FR,Recycle,"c(-118.44047484299, 34.0764635189731)"
1203FL,Landfill,"c(-118.440500844609, 34.0764720295068)"
1189FR,Recycle,"c(-118.440832630328, 34.0759305392632)"
1190FL,Landfill,"c(-118.440841911473, 34.0759322230615)"
1184AL,Landfill,"c(-118.440456738314, 34.0755265512021)"
1185AR,Recycle,"c(-118.440465972435, 34.0755323503047)"
1186AC,Compost,"c(-118.440456599618, 34.0755333648478)"
1191XR,Recycle,"c(-118.440193969427, 34.0759875458603)"
1192XL,Landfill,"c(-118.440194682583, 34.075995675072)"
1187XR,Recycle,"c(-118.440125604938, 34.0758169454524)"
1188XL,Landfill,"c(-118.440110709017, 34.0758174566237)"
1196XR,Recycle,"c(-118.44020118954, 34.0761740644821)"
1197XL,Landfill,"c(-118.440200989723, 34.0761831497739)"
1198XL,Landfill,"c(-118.440006069755, 34.0761875314551)"
1201XL,Landfill,"c(-118.439549725925, 34.0764324585147)"
1199FR,Recycle,"c(-118.439158538239, 34.0763018406783)"
1200FL,Landfill,"c(-118.439164823979, 34.0763086525034)"
1193DR,Recycle,"c(-118.439201976602, 34.0760953902606)"
1194DL,Landfill,"c(-118.439195939706, 34.0760991176229)"
1195DC,Compost,"c(-118.439190143375, 34.076101909255)"
1175FL,Landfill,"c(-118.439226049282, 34.0752958932827)"
1174FR,Recycle,"c(-118.439219469237, 34.0752926455428)"
1180FR,Recycle,"c(-118.43981901198, 34.0754303860135)"
1181FL,Landfill,"c(-118.439809877803, 34.0754312562859)"
1182FR,Recycle,"c(-118.440140599067, 34.0754787467335)"
1183FL,Landfill,"c(-118.440157813567, 34.0754793213436)"
1170DL,Landfill,"c(-118.439665932922, 34.075236632104)"
1169DC,Compost,"c(-118.439660703495, 34.0752359447453)"
1168DR,Recycle,"c(-118.439655935711, 34.0752295916135)"
1166FR,Recycle,"c(-118.439820298149, 34.0751335431572)"
1167FL,Landfill,"c(-118.439808782956, 34.0751386710617)"
1171DC,Compost,"c(-118.440213804345, 34.0752493839442)"
1172DL,Landfill,"c(-118.440216550787, 34.075252081118)"
1173DR,Recycle,"c(-118.440216950222, 34.0752533311647)"
1153AL,Landfill,"c(-118.44073652347, 34.074186545652)"
1152AR,Recycle,"c(-118.440733962751, 34.0741856297332)"
1154AC,Compost,"c(-118.440733405023, 34.0741939076995)"
1141FL,Landfill,"c(-118.440136252179, 34.073943968438)"
1142FR,Recycle,"c(-118.440143346674, 34.0739450637814)"
1138AR,Recycle,"c(-118.43968275875, 34.0739181372172)"
1139AL,Landfill,"c(-118.439675670432, 34.0739237634975)"
1140AC,Compost,"c(-118.439683359144, 34.0739286687095)"
1155FR,Recycle,"c(-118.439401341003, 34.0742301341156)"
1156FL,Landfill,"c(-118.439401216473, 34.0742361170591)"
1161AC,Compost,"c(-118.439570214753, 34.074522893593)"
1159AL,Landfill,"c(-118.439569692666, 34.0745178991487)"
1160AR,Recycle,"c(-118.439563398443, 34.0745226764341)"
1148DL,Landfill,"c(-118.43884909544, 34.0740737638088)"
1147DC,Compost,"c(-118.438848593269, 34.0740724529359)"
1146DR,Recycle,"c(-118.438848481338, 34.0740674899283)"
1015FR,Recycle,"c(-118.442628845333, 34.0712156277346)"
1017FL,Landfill,"c(-118.442636690873, 34.0712242299182)"
1006XL,Landfill,"c(-118.442488558334, 34.0710670832655)"
